event_time,coef,se,ci_lo,ci_hi,policy,nobs,ban_type
9,0.26326707501716173,1.7127223116630268,-3.0936686558423707,3.620202805876694,policy_cowslaughterban_year,1408,cow
10,0.5919585671608306,1.372968166767849,-2.0990590397041533,3.2829761740258148,policy_cowslaughterban_year,1408,cow
-10,0.0,0.0,0.0,0.0,policy_bullslaughterban_year,1408,bull
-9,1.26057091407674,0.5673411736898549,0.14858221364462443,2.3725596145088557,policy_bullslaughterban_year,1408,bull
-8,1.0519795542530408,0.6161271115822375,-0.1556295844481448,2.2595886929542264,policy_bullslaughterban_year,1408,bull
-7,0.06813711814489243,0.7391909004509757,-1.38067704673902,1.5169512830288048,policy_bullslaughterban_year,1408,bull
-6,0.0878380324897432,0.778369075614938,-1.4377653557155352,1.6134414206950216,policy_bullslaughterban_year,1408,bull
-5,-0.5001344603859189,0.6919649177271946,-1.8563856991312204,0.8561167783593825,policy_bullslaughterban_year,1408,bull
-4,-0.4567617274753397,0.705909049728661,-1.8403434649435153,0.9268200099928359,policy_bullslaughterban_year,1408,bull
-3,0.19959433084177408,0.6994989108785347,-1.1714235344801538,1.5706121961637018,policy_bullslaughterban_year,1408,bull
-2,0.032617486536541715,0.6693159215738451,-1.279241719748195,1.3444766928212781,policy_bullslaughterban_year,1408,bull
-1,-0.2670092630551063,0.5522839838402773,-1.3494858713820497,0.8154673452718372,policy_bullslaughterban_year,1408,bull
0,-0.14740869842765836,0.701739252068192,-1.5228176324813145,1.2280002356259978,policy_bullslaughterban_year,1408,bull
1,-0.28246967323420713,0.956548677670896,-2.157305081469163,1.592365735000749,policy_bullslaughterban_year,1408,bull
2,-0.36656923806452735,0.9282984335926269,-2.186034167906076,1.4528956917770213,policy_bullslaughterban_year,1408,bull
3,-0.2146953061423993,0.7903071366578193,-1.763697293991725,1.3343066817069265,policy_bullslaughterban_year,1408,bull
4,-0.09158335572380638,0.8981146727122042,-1.8518881142397268,1.668721402792114,policy_bullslaughterban_year,1408,bull
5,0.06629005529449294,0.9574748679502976,-1.8103606858880903,1.9429407964770762,policy_bullslaughterban_year,1408,bull
6,-0.24266469846952754,0.7751614259018855,-1.761981093237223,1.276651696298168,policy_bullslaughterban_year,1408,bull
7,-0.07879915168991602,0.8060806145624481,-1.6587171562323142,1.5011188528524821,policy_bullslaughterban_year,1408,bull
8,0.3904215117685085,1.008991721350767,-1.587202262078995,2.368045285616012,policy_bullslaughterban_year,1408,bull
9,0.4049425911257143,0.9744757158751003,-1.5050298119894823,2.314914994240911,policy_bullslaughterban_year,1408,bull
10,0.5310043952478596,0.8134248081598552,-1.0633082287454565,2.1253170192411757,policy_bullslaughterban_year,1408,bull
-10,0.0,0.0,0.0,0.0,policy_bullockslaughterbans_year,1408,bullock
-9,1.26057091407674,0.5673411736898549,0.14858221364462443,2.3725596145088557,policy_bullockslaughterbans_year,1408,bullock
-8,1.0519795542530408,0.6161271115822375,-0.1556295844481448,2.2595886929542264,policy_bullockslaughterbans_year,1408,bullock
-7,0.06813711814489243,0.7391909004509757,-1.38067704673902,1.5169512830288048,policy_bullockslaughterbans_year,1408,bullock
-6,0.0878380324897432,0.778369075614938,-1.4377653557155352,1.6134414206950216,policy_bullockslaughterbans_year,1408,bullock
-5,-0.5001344603859189,0.6919649177271946,-1.8563856991312204,0.8561167783593825,policy_bullockslaughterbans_year,1408,bullock
-4,-0.4567617274753397,0.705909049728661,-1.8403434649435153,0.9268200099928359,policy_bullockslaughterbans_year,1408,bullock
-3,0.19959433084177408,0.6994989108785347,-1.1714235344801538,1.5706121961637018,policy_bullockslaughterbans_year,1408,bullock
-2,0.032617486536541715,0.6693159215738451,-1.279241719748195,1.3444766928212781,policy_bullockslaughterbans_year,1408,bullock
-1,-0.2670092630551063,0.5522839838402773,-1.3494858713820497,0.8154673452718372,policy_bullockslaughterbans_year,1408,bullock
0,-0.14740869842765836,0.701739252068192,-1.5228176324813145,1.2280002356259978,policy_bullockslaughterbans_year,1408,bullock
1,-0.28246967323420713,0.956548677670896,-2.157305081469163,1.592365735000749,policy_bullockslaughterbans_year,1408,bullock
2,-0.36656923806452735,0.9282984335926269,-2.186034167906076,1.4528956917770213,policy_bullockslaughterbans_year,1408,bullock
3,-0.2146953061423993,0.7903071366578193,-1.763697293991725,1.3343066817069265,policy_bullockslaughterbans_year,1408,bullock
